"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"435513443","Our thoughts determine our lives : the life and teachings of Elder Thaddeus of Vitovnica","Tadej, otac; Saint Herman of Alaska Brotherhood.;","English","book_printbook","","Platina, CA : Saint Herman of Alaska Brotherhood, 2009.","","","2019-12-02 23:40"
"732917824","PURPOSE DRIVEN CHURCH.","RICK WARREN","","book_printbook","","GRAND RAPIDS, MICHIGAN, 1995.","","","2019-12-02 23:39"
"858911965","I gave dating a chance : a biblical perspective to balance the extremes","Jeramy Clark","English","book_digital","","Colorado Springs, Colorado : WaterBrook Press, [2000] ©2000","","","2019-12-02 23:38"
"907204229","Blue Like Jazz Nonreligious Thoughts on Christian Spirituality.","Miller, Donald.","English","audiobook","","Brilliance Audio 2015.","","","2019-12-02 23:38"
"812073799","Searching for God knows what","Donald Miller","English","book_printbook","","Nashville, Tenn. : Thomas Nelson, ©2010.","","","2019-12-02 23:38"
"48887688","Thy kingdom come","Gary Larrabee","English","book_printbook","","[Place of publication not identified] : International Branch of the Lion of Judah, ©2000.","","","2019-12-02 23:37"
"819776383","The Orthodox way.","Kallistos Ware","English","book_printbook","","Crestwood, NY : St Vladimir's Seminary Press, 1995.","","","2019-12-02 23:37"
"612243510","Dianetics : the modern science of mental health : a handbook of Dianetics procedure","L  Ron Hubbard","English","book_printbook","","Los Angeles, CA : Bridge Publications, ©2007.","","","2019-12-02 23:37"
"1090837571","Velvet Elvis","Rob Bell; ©2012 by HarperCollinsPublishers; OverDrive, Inc.","English","audiobook_digital","","[S.I.] : HarperCollins, 2012.","","","2019-12-02 23:36"
"1006892808","Revolution in world missions : one man's journey to change a generation","K  P Yohannan","English","book_printbook","","Wills Point, Texas : GFA Books, ©2017.","","","2019-12-02 23:36"
"903125082","The prodigal God : discussion guide","Timothy Keller","English","book_digital","","[Grand Rapids, Mich.] : Zondervan, 2009.","","","2019-12-02 23:36"
"903910763","HCSB study bible : Holman Christian standard Bible.","Holman Bible Publishers (Nashville, Tenn.);","English","book_largeprint","","[Nashville, TN] : Holman Bible Publishers, ℗2015. ©2015","","","2019-12-02 23:35"
"766184035","Holy Bible : New International Version : with Bible guide : directly translated from original scriptures.","International Bible Society.;","English","book_printbook","","London : Hodder & Stoughton, 2008.","","","2019-12-02 23:35"
"610406130","Islam : a Christian perspective","Michael Nazir-Ali","English","book_printbook","","Philadelphia : Westminster Press, 1984.","","","2019-12-02 23:34"
"1002212290","Preparing for marriage","David Boehi; Dennis Rainey; et al","English","book_printbook","","Minneapolis, Minn. : Bethany House, 2014.","","","2019-12-02 23:34"
"40454707","Book of Mormon ; Doctrine and covenants ; Pearl of great price","Joseph Smith, Jr.; Book of Mormon.; Church of Jesus Christ of Latter-day Saints.","English","book_printbook","","Salt Lake City, UT : Church of Jesus Christ of Latter-day Saints, 1998, ©1981.","","","2019-12-02 23:32"
"1013541856","The book of Mormon","Joseph Smith","English","book_digital","","Milano : Maria, 2017.","","","2019-12-02 23:03"
"1041884870","GREEK TEXTUAL CRITICISM.","ROBERT RENEHAN","English","book_printbook","","[Place of publication not identified], HARVARD UNIV Press, 2014.","","","2019-12-02 23:01"
"873550117","New Testament Greek : an introductory grammar","Eric George Jay","English","book_printbook","","London : S.P.C.K., 1987.","","","2019-12-02 23:00"
"1100938090","The Speeches in Thucydides : a Collection of Original Studies with a Bibliography","Philip A  Stadter","English","book_digital","","Chapel Hill : The University of North Carolina Press, 2012.","","","2019-12-02 23:00"
"5968141","A reader's Hebrew-English lexicon of the Old Testament","Ferris Lee McDaniel","English","book_thsis","","1975.","","","2019-12-02 22:59"
"251317431","A companion to the Iliad","Malcolm Maurice Willcock; Richard Lattimore","English","book_printbook","","Chicago Univ. of Chicago Pr. (1976)","","","2019-12-02 22:58"
"1030572976","Ancient Greek literature in its living context","Harold Caparne Baldry; McGraw-Hill Publishing Company.","English","book_printbook","","New York : McGraw-Hill Book Comapany, 1974.","","","2019-12-02 22:58"
"889233833","Thirty-eight Latin stories : designed to accompany Wheelock's Latin","Anne H Groton; James M May; Frederic M Wheelock","English","book_printbook","","Wauconda, IL : Bolchazy-Carducci Publishers, Inc., United Graphics, 2010. 2012 ©2004","","","2019-12-02 22:57"
"222905225","Let's study Greek","Clarence B Hale","English","book_printbook","","Chicago : Moody Press, 1982.","","","2019-12-02 22:57"
"39970129","Essays on ancient fiction.","Elizabeth Hazelton Haight","English","book_printbook","","New York, Books for Libraries, 1974.","","","2019-12-02 22:57"
"2858942","The interlinear Bible : Hebrew, Greek, English","Jay P Green, Sr.;","English","book_printbook","","Wilmington, Del. : Associated Publishers and Authors, 1976-","","","2019-12-02 22:56"
"40707041","Zondervan NIV exhaustive concordance","Edward W Goodrick; John R Kohlenberger, III; James A Swanson","English","book_printbook","","Grand Rapids, Mich. : Zondervan Pub. House, ©1999.","","","2019-12-02 22:56"
"924897329","A short history of Greek literature","Jacqueline de Romilly","English","book_printbook","","Chicago : University of Chicago Press, 1985.","","","2019-12-02 22:56"
"779875199","Matthew Henry's Concise Commentary on the whole Bible.","Matthew Henry","English","book_printbook","","Nashville : T. Nelson, ©1997.","","","2019-12-02 22:55"
"804646756","Biblia Hebraica Stuttgartensia","Rud Kittel; A Alt; Otto Eissfeldt; Paul Kahle; Gerard E Weil; Adrian Schenker;","Latin","book_printbook","","Stuttgart : Deutsche Bibelstiftung, 1997.","","","2019-12-02 22:54"
"953916172","Novum Testamentum Graece","Eberhard Nestle; Erwin Nestle; Barbara Aland; Kurt Aland; Institut für Neutestamentliche Textforschung,;","Greek, Modern [1453- ]","book_printbook","","Stuttgart : Deutsche Bibelgesellschaft, 2015.","","","2019-12-02 22:53"
"1071688471","Analytical Greek New Testament","Barbara Friberg; Kurt Aland","English","book_printbook","","Grand Rapids, Mich. Baker 1994","","","2019-12-02 22:52"
"29559800","The New Greek-English interlinear New Testament : a new interlinear translation of the Greek New Testament, United Bible Societies' fourth, corrected edition with the New Revised Standard Version, New Testament","Robert K Brown; Philip Wesley Comfort; J  D Douglas; United Bible Societies.;","English","book_printbook","","Wheaton, Ill. : Tyndale House Publishers, ©1993.","","","2019-12-02 22:50"
"670142427","A commentary on the First and Second Epistles to the Thessalonians","Ernest Best","English","book_printbook","","Peabody, Mass. : Hendrickson, [1988], ©1972.","","","2019-12-02 22:49"
"1096475287","The Septuagint with Apocrypha : Greek and English","Lancelot Charles Lee Brenton, Sir;","English","book_printbook","","Peabody, Massachusetts : Hendrickson Publishers, [2018]","","","2019-12-02 22:48"
"730405337","The UBS Greek New Testament : reader's edition with textual notes","Kurt Aland; Barbara Aland; Florian Voss; Barclay Moon Newman; United Bible Societies.; Deutsche Bibelgesellschaft.;","Greek, Ancient [to 1453]","book_printbook","","Stuttgart : Deutsche Bibelgesellschaft ; Wheaton, Ill. : Crossway, 2011, ©2010.","","","2019-12-02 22:48"
"828487129","The epistle to the Thessalonians : a commentary on the Greek text","Charles A Wanamaker","English","book_printbook","","Grand Rapids, Michigan : William B. Eerdmans Publishing Company, [2013] ©1990","","","2019-12-02 22:47"
"909952075","The new international commentary on the Old Testament.","R  K Harrison; Robert L Hubbard, Jr.;","English","book_printbook","New international commentary on the Old Testament,","Grand Rapids (Mich.) : W.B. Eerdmans, cop. 1997.","","","2019-12-02 22:45"
"989794646","The gospel of Mark","William Barclay;","English","book_printbook","","Louisville, KY : Westminster John Knox Press, 2017.","","","2019-12-02 22:44"
"868193067","The Epistle to the Hebrews : an historical and theological reconsideration, the Baird Lecture, 1949","William Manson","English","book_printbook","","London : Hodder and Stoughton, Ltd., [1957, ©1951]","","","2019-12-02 22:44"
"613112264","The Gospel of Matthew","William Barclay;","English","book_printbook","","Philadelphia : Westminster Press, 1976, ©1975.","","","2019-12-02 22:42"
"1035371189","The Gospel according to St. Matthew : an introduction and Commentary","R  V  G Tasker","English","book_digital","","Leicester : Inter-Varsity Press, 1961","","","2019-12-02 22:41"
"1030562447","The Gospel according to Mark","Charles Francis Digby Moule; Peter R Ackroyd; Alfred Robert Clare Leaney; John William Packer; Cambridge University Press.","English","book_printbook","","New York : Cambridge University Press, druk 2010.","","","2019-12-02 22:40"
"637575666","The Gospel according to Matthew : commentary","A  W Argyle","English","book_printbook","","Cambridge : Cambridge University Press, 1979.","","","2019-12-02 22:40"
"716236306","The good news according to Mark : a commentary on the gospel","Eduard Schweizer, théologien.; Donald H Madvig","English","book_printbook","","London : SPCK., 1987.","","","2019-12-02 18:44"
"1058034704","The second Isaiah","Christopher R North;","English","book_printbook","","Oxford : Clarendon Press, [1964]","","","2019-12-02 18:43"
"36121793","The Epistles of Paul the apostle to the Galatians, Ephesians, Philippians and Colossians","Jean Calvin; David W Torrance; Thomas F Torrance","English","book_printbook","","Grand Rapids : Eerdmans ; Carlisle : Paternoster, 1996.","","","2019-12-02 18:42"
"23020011","A commentary on the Epistle to the Hebrews","Hugh Montefiore","English","book_printbook","","San Francisco : Harper & Row, [1987], ©1964.","","","2019-12-02 18:42"
"990719836","The Epistles of Paul the Apostle to the Romans and to the Thessalonians. : Calvin's New Testament Commentaries Vol. 8","John Calvin","English","book_printbook","","Grand Rapids, MI : Eerdmans, ©1973 reprint.","","","2019-12-02 18:41"
"59233898","The Broadman Bible commentary. Vol. 2, Leviticus - Ruth","Clifton Judson Allen;","English","book_printbook","","London : Marshall, Morgan & Scott, 1971.","","","2019-12-02 18:39"
"1046234053","The Broadman Bible commentary. 11 2 Corinthians - Philemon","Clifton J Allen;","English","book_printbook"," 11","London Marshall, Morgan & Scott 1972","","","2019-12-02 18:39"
"881802467","The book of revelation","Robert H Mounce","English","book_printbook","","Grand Rapids, Mich. Eerdman 2012","","","2019-12-02 18:38"
"909662669","The First Epistle to the Corinthians","Gordon D Fee","English","book_printbook","","Grand Rapids, Michigan : William B. Eerdmans Publishing Company, 2014. ©2014","","","2019-12-02 18:38"
"755874128","Gospel according to st john.","Barrett.","English","book_printbook","","[Place of publication not identified] : Spck Pub., 2012.","","","2019-12-02 18:37"
"494366569","The Epistle to the Hebrews : reviseds edition","Frederick Fyvie Bruce","English","book_printbook","","Grand Rapids : W.B. Eerdmans, c. 1990.","","","2019-12-02 18:35"
"22895706","The first and second Epistles to the Thessalonians : the English text with introduction, exposition, and notes","Leon Morris;","English","book_printbook","","Grand Rapids, Mich. : W.B. Eerdmans, 1989, ©1959.","","","2019-12-02 18:35"
"12566226","The Epistles of Paul to the Philippians and to Philemon : the English text with introd., exposition and notes","Jac  J Müller","English","book_printbook","","Grand Rapids : Eerdmans, 1984.","","","2019-12-02 18:34"
"219253865","Commentary on the Second Epistle to the Corinthians.","Philip Edgcumbe Hughes","English","book_printbook","","Grand Rapids : Eerdmans, 1962.","","","2019-12-02 18:32"
"30364163","The Epistle of Paul to the churches of Galatia : the English text with introduction, exposition and notes.","Herman N Ridderbos","English","book_printbook","","Grand Rapids, Mich. : W.B. Eerdmans, 1981, 1953.","","","2019-12-02 18:32"
"610686969","Commentary on the epistles to the Ephesians and Colossians : the English text with introduction, expositon and notes","E  K Simpson; F  F Bruce","English","book_printbook","","Grand Rapids, Mich : Eerdmans, 1980.","","","2019-12-02 18:32"
"781177878","Jeremiah","Robert P Carroll","English","book_printbook","","Sheffield : Sheffield Phoenix Press, 2006.","","","2019-12-02 18:31"
"559318496","The New Bible Commentary. Edited by the Rev. Professor F. Davidson ... assisted by the Rev. A.M. Stibbs ... the Rev. E.F. Kevan.","Francis DAVIDSON; Ernest F Kevan; Alan Marshall STIBBS","English","book_printbook","","London : Inter-Varsity Fellowship, 1953.","","","2019-12-02 18:30"
"233940171","Ezekiel : an introduction and commentary","John B Taylor","English","book_printbook","","Nottingham, England ; Downers Grove, IL : InterVarsity Press, 2009.","","","2019-12-02 18:30"
"261924401","The gospel according to John (XIII-XXI)","Raymond E Brown;","English","book_printbook","","New Haven, Conn. ; London : Yale University Press, 2008.","","","2019-12-02 18:28"
"644673643","The Twentieth century Bible commentary","Gwynne Henton Davies;","English","book_digital","","New York, Harper [©1955]","","","2019-12-02 18:28"
"589789632","The Anchor Bible. Vol. 29, The Gospel according to John (1-12) ; [a new translation]","Raymond Edward Brown;","English","book_printbook","","New Haven, Conn. ; London : Yale University Press, 2007.","","","2019-12-02 18:27"
"755522673","Matthew","William Foxwell Albright; C  S Mann;","English","book_printbook","","New Haven ; London : Yale University Press, [2011?]","","","2019-12-02 18:26"
"927413574","The Anchor Bible: The Gospel according to Luke","Joseph A Fitzmyer;","English","book_printbook","","Garden City, N.Y. Doubleday 1981.","","","2019-12-02 18:26"
"16856675","A commentary on the First Epistle to the Corinthians","C  K Barrett","English","book_printbook","","Peabody, Mass. : Hendrickson Publishers, 1987.","","","2019-12-02 18:25"
"16856700","A commentary on the Epistle to the Romans","C  K Barrett","English","book_printbook","","Peabody, Mass. : Hendrickson Publishers, 1987.","","","2019-12-02 18:25"
"258549570","Jeremiah","John Bright","English","book_printbook","","New York, N.Y. : Doubleday, [ca. 1990]","","","2019-12-02 18:25"
"468366784","Commentary on the Prophets","Emil G Kraeling","English","book_printbook","","Camden, N.J., 1966","","","2019-12-02 18:24"
"16856423","A commentary on the Epistle of James","Sophie Laws","English","book_printbook","","Peabody, Mass. : Hendrickson Publishers, 1987.","","","2019-12-02 18:24"
"1113778372","Word biblical commentary. 45 1 and 2 Thessalonians","F  F Bruce","English","book_printbook","","Grand Rapids, Michigan : Zondervan, [2015?] ©1982","","","2019-12-02 18:23"
"977062274","The Gospel according to St. Mark","Vincent Taylor;","English","book_printbook","","London : Macmillan, 1966","","","2019-12-02 18:23"
"642900717","Word biblical commentary : Isaiah 1-33","David Allan Hubbard; Glenn W Barker; John D  W Watts;","English","book_printbook","","Waco, Tex. : Word Books, ©1982-&lt;1992&gt;","","","2019-12-02 18:22"
"1031546691","Leviticus","John E Hartley","English","book_digital","","Grand Rapids, Michigan : Zondervan, 2018. ©1992","","","2019-12-02 18:16"
"632600380","A critical and exegetical commentary on the epistle of Saint James","James Hardy Ropes","English","book_printbook","","Edinburgh : Clark, 1916.","","","2019-12-02 13:34"
"59151731","A critical and exegetical commentary on the first epistle of St. Paul to the Corinthians","Archibald Robertson; Alfred Plummer","English","book_printbook","","Edinburgh : T. & T. Clark, 1999.","","","2019-12-02 13:33"
"57640997","A critical and exegetical commentary on the Epistle to the Romans","C  E  B Cranfield","English","book_printbook","","London ; New York : T & T Clark International, 2004.","","","2019-12-02 13:32"
"21895085","A critical and exegetical commentary on the Epistle to the Romans","W Sanday; Arthur C Headlam","English","book_printbook","","Edinburgh : T. & T. Clark, 1980 printing.","","","2019-12-02 13:31"
"641194160","A critical and exegetical commentary on the book of Psalms","Charles Augustus Briggs; Emilie Grace Briggs","English","book_printbook","","London : T & T Clark International, 2004.","","","2019-12-02 13:30"
"672303905","A critical and exegetical commentary on the Epistle to the Galatians","Ernest DeWitt Burton","English","book_printbook","","[Place of publication not identified] : Nabu Public Domain Reprints ; New York : C. Scribner's Sons, 1920, [2010?]","","","2019-12-02 13:30"
"25384146","A critical and exegetical commentary on the Epistles to the Philippians and to Philemon","Marvin R Vincent","English","book_printbook","","Edinburgh : T. & T. Clark, 1985 printing.","","","2019-12-02 13:30"
"756457589","A critical and exegetical commentary on Amos and Hosea","William Rainey Harper","English","book_digital","","Edinburgh : T. & T. Clark, 1979.","","","2019-12-02 13:28"
"52877151","A critical and exegetical commentary on Deuteronomy","S  R Driver","English","book_printbook","","Edinburgh : T & T Clark, 1996.","","","2019-12-02 13:27"
"156982987","Ephesians--Philemon","Tremper Longman, III.; William W Klein; David E Garland; Todd D Still; Robert L Thomas; Andreas J Köstenberger; Arthur A Rupprecht;","English","book_printbook","","Grand Rapids, Mich. : Zondervan, ©2006.","","","2019-12-02 13:25"
"17571983","The Expositor's Bible commentary. Volume 12, Hebrews--Revelation : with the New International version of the Holy Bible","Frank E Gaebelein; J  D Douglas; Walter C Kaiser, Jr.; Leon Morris; Donald W Burdick; Edwin Blum; Glenn W Barker; Alan F Johnson;","English","book_printbook","","Grand Rapids, Mich. : Zondervan Pub. House, ©1981.","","","2019-12-02 13:25"
"17572122","The Expositor's Bible commentary. Volume 10, Romans-Galatians : with the New international version of the Holy Bible","Frank E Gaebelein; J  D Douglas; Walter C Kaiser; Everett Falconer Harrison; W  Harold Mare; Murray J Harris; James Montgomery Boice;","English","book_printbook","","Grand Rapids : Zondervan Pub. House, ©1976.","","","2019-12-02 13:23"
"20163105","The Expositor's Bible commentary Volume 8, Matthew-Luke : with the New International Version of the Holy Bible","Frank E Gaebelein; J  D Douglas; D  A Carson; Walter W Wessel; Walter L Liefeld;","English","book_printbook","","Grand Rapids : Zondervan Pub. House, ©1984.","","","2019-12-02 13:22"
"881693519","The Expositor's Bible commentary : with the New International version of the Holy Bible. Volume 9: John, Acts","Frank E Gaebelein; J  D Douglas; Walter C Kaiser, Jr.; Merrill C Tenney; Richard N Longenecker;","English","book_printbook","","Grand Rapids, Mich. : Zondervan Pub. House, ©1981.","","","2019-12-02 13:20"
"19651833","The Expositor's Bible commentary. Volume 1, Introductory articles : with the New International version of the Holy Bible","Frank E Gaebelein; J  D Douglas;","English","book_printbook","","Grand Rapids : Zondervan Pub. House, ©1979.","","","2019-12-02 13:17"
"460184329","A Commentary on the Gospel according to St Luke : A.R.C. Leaney, ...","Robert Leaney; Alfred Robert Clare.","English","book_printbook","","London : A. and C. Black, [cop. 1958]","","","2019-12-02 13:16"
"860365721","The pastoral epistles","J  N  D Kelly","English","book_printbook","","Peabody, MA : Hendrickson, ©1998.","","","2019-12-02 13:13"
"715972010","Ephesians","C  Leslie Mitton","English","book_printbook","","Grand Rapids : W.B. Eerdmans ; London : Marshall Morgan & Scott, 1989.","","","2019-12-02 13:12"
"257929418","1 and 2 Corinthians : based on the Revised Standard Version","Frederick Fyvie Bruce","English","book_printbook","","Grand Rapids, Mich. Eerdmans 1992","","","2019-12-02 13:10"
"180059796","Acts : based on the revised standard edition","William Neil;","English","book_printbook","","Grand Rapids : Eerdmans, 1981.","","","2019-12-02 13:09"
"732884604","New century Bible commentary : the Gospel of John.","Barnabas Lindars","English","book_printbook","","Grand Rapids, Mich. : Eerdmans, 1972.","","","2019-12-02 13:08"
"6487066","The Gospel of Luke","E  Earle Ellis","English","book_printbook","","Grand Rapids, Mich. : Eerdmans, 1981, ©1974.","","","2019-12-02 13:07"
"954544863","Isaiah 1-39","R  E Clements","English","book_printbook","","Grand Rapids : Eerdmans, 1994.","","","2019-12-02 13:06"
"272558838","Isaiah 40-66","R  N Whybray","English","book_printbook","","Grand Rapids, MI : Eerdmans ; London : Marshall, Morgan & Soctt, 1981, ©1975.","","","2019-12-02 13:04"
"895822486","1 and 2 Kings : based on the Revised Standard Version / Vol. 2, 1 Kings 17:1-2 Kings 25:30.","Gwilym H Jones","English","book_printbook","","London : Marshall Morgan & Scott, 1984.","","","2019-12-02 13:03"
"696718747","1 and 2 Chronicles","H  G  M Williamson","English","book_printbook","","Eugene, Oregon : Wipf & Stock, 2010 ©1982","","","2019-12-02 13:03"
"692516044","The Popular and critical Bible encyclopedia and scriptural dictionary, fully defining and explaining all religious terms, including biographical, geographical, historical, archaeological and doctrinal themes ... illustrated with over 600 maps and engravings;","Samuel Fallows, bp.","English","book_printbook","","Chicago : The Howard-Severance Company, 1904-05.","","","2019-12-02 13:02"
"25437785","The life and epistles of Saint Paul","William John Conybeare; J  S Howson","English","book_printbook","","Grand Rapids, Mich. : W.B. Eerdmans Pub. Co., 1976.","","","2019-12-02 13:01"
"980144151","Apostles' creed in the light of modern discussion.","HENRY ALBERT STIMSON","English","book_printbook","","[Place of publication not identified], Book ON DEMAND LTD, 2015.","","","2019-12-02 12:58"
"1940589","Notes : exegetical, practical and devotional, on the book of Exodus : for the pulpit, family and Sabbath-school","Alfred Nevin","English","book_printbook","","Philadelphia : Claxton, Remsen & Haffelfinger, 1874, ©1873.","","","2019-12-02 12:58"
"958568016","Legends of the Patriarchs and Prophets and otheatacters from Various Sources.","S Baring-Gould","English","book_digital","","Dinslaken : Anboco, 2016.","","","2019-12-02 12:57"
"29214149","The books called Apocrypha according to the authorized version.","","English","book_printbook","","[Port Trevorton, Pa.] : [Howard Eastland, Jr.] ; Scottsville, KY : Printed for the Meonnonite [sic] Church, [1986]","","","2019-12-02 12:57"
"774985601","Nouvo Testaman an ak Sòm yo.","Société biblique haïtienne.; American Bible Society.;","Haitian Creole","book_printbook","","New York : American Bible Society, ©2010.","","","2019-12-02 12:55"
"499793648","The book of the twelve prophets","George Adam Smith, Sir;","English","book_printbook","","[Place of publication not identified] : Hodder and Stoughton, 1903.","","","2019-12-02 12:55"
"232186539","The book of Isaiah : in two volumes","George Adam Smith","English","book_printbook","","New York : Harper & Brothers, [1927?]","","","2019-12-02 12:55"
"1105260689","The Gospel According to St. John","Charles Kingsley Barrett","English","book_printbook","","Philadelphia : The Westminster Press, 1978.","","","2019-12-02 12:54"
"924976339","A rabbinic commentary on the New Testament : the Gospels of Matthew, Mark, and Luke","Samuel Tobias Lachs","English","book_printbook","","Hoboken, N.J. : KTAV Publ. House ; New York : Anti-Defamation League of B'nai B'rith, ©1987.","","","2019-12-02 12:54"
"249095476","The Westminster dictionary of church history","Jerald Carl Brauer; Brian Gerrish;","English","book_printbook","","Philadelphia : The Westminster Press, 1971.","","","2019-12-02 12:53"
"500799743","Synopsis of the four gospels","Kurt Aland;","English","book_printbook","","New York : American Bible Society, [2010]","","","2019-12-02 12:52"
"59825554","Index to the revised Bauer-Arndt-Gingrich Greek lexicon.","F  Wilbur Gingrich; John R Alsop","English","book_printbook","","Grand Rapids : Zondervan Pub. House, 1982.","","","2019-12-02 12:40"
"794049743","The analytical Hebrew and Chaldee lexicon : every word and inflection of the Hebrew Old Testament arranged alphabetically and with grammatical analyses : a complete series of Hebrew and Chaldee paradigms, with grammatical remarks and explanations","Benjamin Davidson","English","book_printbook","","Peabody, MA : Hendrickson, 2011.","","","2019-12-02 12:40"
"863512629","New Testament Apocrypha","Wilhelm Schneemelcher; R  McL Wilson;","English","book_printbook","","Louisville, KY : Westminster John Knox Press, 2003, ©1992.","","","2019-12-02 12:39"
"1019837665","Biblical Hebrew : an introductory grammar","Page H Kelley; Timothy G Crawford","English","book_printbook","","Grand Rapids, Michigan : William B. Eerdmans Publishing Company, [2018]","","","2019-12-02 12:39"
"1080608226","Learning Biblical Hebrew : Reading for Comprehension: an Introductory Grammar.","Karl Kutz","English","book_printbook","","Lexham Press 2018.","","","2019-12-02 12:38"
"983121095","DIRECT METHOD IN MODERN LANGUAGES : contributions to methods and didactics in modern languages ... (classic reprint).","CARL A KRAUSE","English","book_printbook","","[Place of publication not identified], FORGOTTEN Books, 2015.","","","2019-12-02 12:37"
"978245394","A Greek grammar of the New Testament and other early Christian literature [by] F. Blass and A. Debrunner. A translation and revision of the 9th-10th German ed., incorporating supplementary notes of A. Debrunner,","Friedrich Blass; Albert Debrunner; Robert W Funk","English","book_printbook","","[Chicago] University of Chicago Press [1961]","","","2019-12-02 12:37"
"972347562","Foreign language teaching","J  Wesley Childers","English","book_printbook","","New York, Center for Applied Research in Education [1969, ©1964]","","","2019-12-02 12:36"
"818505727","Methods That Work : a Smorgasbord of Ideas for Language Teachers","John W Oller","English","book_printbook","","文鶴, Taipei : Wen he, 1984.","","","2019-12-02 12:35"
"150886728","Greek literature in translation","George Howe","English","book_printbook","","Darby, PA : Arden Library, 1924 1978.","","","2019-12-02 12:34"
"849985773","Concise dictionary of Greek literature","James H Mantinband","English","book_printbook","","New York : Greenwood Press, 1969.","","","2019-12-02 12:33"
"288524356","Elementary Greek : koine for beginners workbook","Christine Gatchell; Abbey Bogost","English","book_printbook","","Albuquerque, N.M. : Open Texture, ©2005-2007.","","","2019-12-02 12:33"
"821904474","Greek dramas by Aeschylus, Sophocles, Euripides, and Aristophanes","Bernadotte Perrin; Aeschylus.; Sophocles.; Euripides.; Aristophanes.;","English","book_printbook","","Miami, FL : HardPress Pub., [2012]","","","2019-12-02 12:32"
"1027882579","The random house dictionary of the English language","Jess Stein; Laurence Urdang;","English","book_printbook","","New York : Random House, 1981.","","","2019-12-02 12:31"
"317628211","Thesaurus: Random House College edition","Jess M Stein; Stuart Berg Flexner; Random House (Firm);","English","book_printbook","","New York : Random House, 1984.","","","2019-12-02 12:31"
"52714518","Reason to rejoice : love, grace, and forgiveness in Paul's letter to the Romans","Ray C Stedman","English","book_printbook","","Grand Rapids, MI : Discovery House Publishers, ©2004.","","","2019-12-02 12:08"
"1122454510","Protestant Biblical Interpretation : a Textbook of Hermeneutics for Conservative Protestants.","Bernard L Ramm; Bernard Ramm","English","book_digital","","Grand Rapids : Baker Academic, 1999.","","","2019-12-02 12:08"
"167514655","Letters to a troubled church : 1 and 2 Corinthians","Ray C Stedman","English","book_printbook","","Grand Rapids, MI : Discovery House Publishers, ©2007.","","","2019-12-02 12:07"
"808505810","From guilt to glory, Volume 1 : Romans 1-8","Ray C Stedman","English","book_printbook","","Waco, Texas : Word, 1978.","","","2019-12-02 12:07"
"706606913","Expository studies in Romans 9-16 : from guilt to glory : volume II","Ray C Stedman","English","book_printbook","","Waco, Tex. : Word Books, ©1978.","","","2019-12-02 12:06"
"535492972","Friend of God : the legacy of Abraham, man of faith","Ray C Stedman","English","book_printbook","","Grand Rapids, MI : Discovery House, ©2010.","","","2019-12-02 12:05"
